"Binomial1","Binomial2","Binomial3","Binomial4","Binomial5"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted","Pteronotus_pristinus","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted","Brotomys_contractus","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted","Solenodon_arredondoi","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted","Cavia_porcellus","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted","Cercopithecus_wolfi","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted","Spilogale_aquaticus","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted","Melomys_spechti","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted","Plagiodontia_araeum","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted","Eudorcas_tilonura"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted","Pseudomys_auritus"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Alouatta_juara","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Alouatta_puruensis","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Cacajao_ayresi","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Cebus_olivaceus","Cebus_olivaceus","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Coelops_hirsutus","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Eptesicus_kobayashii","Eptesicus_kobayashii","Eptesicus_kobayashii"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Gazella_arabica","Gazella_arabica","Gazella_arabica"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Homo_erectus","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Miniopterus_fuliginosus","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Miniopterus_oceanensis","000 Species not accepted_000 Species not accepted","000 Species not accepted_000 Species not accepted"
"000 Species not accepted","000 Species not accepted_000 Species not accepted","Muntiacus_puhoatensis","Muntiacus_puhoatensis","Muntiacus_puhoatensis"
